National Dex #,Location Black,Location White,Location Black 2,Location White 2
1,Trade,Trade,Trade,Trade
2,Trade,Trade,Trade,Trade
3,Trade,Trade,Trade,Trade
4,Trade,Trade,Trade,Trade
5,Trade,Trade,Trade,Trade
6,Trade,Trade,Trade,Trade
7,Trade,Trade,Trade,Trade
8,Trade,Trade,Trade,Trade
9,Trade,Trade,Trade,Trade
10,Trade,Breeding,Trade,Breeding
11,Trade,Evolution,Trade,Evolution
12,Trade,Route 12,Trade,Pinwheel Forest (Hidden Hole)
13,Breeding,Trade,Breeding,Trade
14,Evolution,Trade,Evolution,Trade
15,Route 12,Trade,Pinwheel Forest (Hidden Hole),Trade
16,Trade,White Forest,Trade,Trade
17,Trade,Evolution,Trade,Trade
18,Trade,Evolution,Trade,Trade
19,Breeding,Breeding,"Castelia City, Castelia Sewers, Relic Pass","Castelia City, Castelia Sewers, Relic Pass"
20,Dreamyard,Dreamyard,"Relic Pass, Stranger's House, Dreamyard","Relic Pass, Stranger's House, Dreamyard"
21,Breeding,Breeding,Breeding,Breeding
22,Route 15,Route 15,Route 15,Route 15
23,Trade,Trade,Trade,Trade
24,Trade,Trade,Trade,Trade
25,Trade,Trade,Trade,Trade
26,Trade,Trade,Trade,Trade
27,Breeding,Breeding,"Desert Resort, Relic Castle","Desert Resort, Relic Castle"
28,Relic Castle,Relic Castle,"Relic Castle, Route 15","Relic Castle, Route 15"
29,Trade,White Forest,Route 2 (Hidden Hole),Route 2 (Hidden Hole)
30,Trade,Evolution,Evolution,Evolution
31,Trade,Evolution,Evolution,Evolution
32,Trade,White Forest,Route 2 (Hidden Hole),Route 2 (Hidden Hole)
33,Trade,Evolution,Evolution,Evolution
34,Trade,Evolution,Evolution,Evolution
35,Giant Chasm,Giant Chasm,Giant Chasm,Giant Chasm
36,Giant Chasm,Giant Chasm,Giant Chasm,Giant Chasm
37,Abundant Shrine,Abundant Shrine,Abundant Shrine,Abundant Shrine
38,Abundant Shrine,Abundant Shrine,Abundant Shrine,Abundant Shrine
39,Route 14,Route 14,"Routes 1, 2, Dreamyard","Routes 1, 2, Dreamyard"
40,Route 14,Route 14,"Routes 1, 2, Dreamyard","Routes 1, 2, Dreamyard"
41,Breeding,Breeding,Castelia Sewers,Castelia Sewers
42,"Dreamyard, Route 13","Dreamyard, Route 13","Celestial Tower, Stranger's House, Dreamyard","Celestial Tower, Stranger's House, Dreamyard"
43,Trade,White Forest,Trade,Trade
44,Trade,Evolution,Trade,Trade
45,Trade,Evolution,Trade,Trade
46,Trade,Route 11 (Swarm),Trade,Trade
47,Trade,Evolution,Trade,Trade
48,Breeding,Breeding,Pinwheel Forest (Hidden Hole),Pinwheel Forest (Hidden Hole)
49,Dreamyard,Dreamyard,Evolution,Evolution
50,Trade,Trade,Trade,Trade
51,Trade,Trade,Trade,Trade
52,Trade,Trade,Trade in Nimbasa City,Trade in Nimbasa City
53,Trade,Trade,Trade,Trade
54,Breeding,Breeding,Sangi Ranch,Sangi Ranch
55,"Village Bridge, Routes 11, 14","Village Bridge, Routes 11, 14","Routes 11, 14, 22, 23, Seaside Cave, Village Bridge, Abundant Shrine, Nature Sanctuary","Routes 11, 14, 22, 23, Seaside Cave, Village Bridge, Abundant Shrine, Nature Sanctuary"
56,Route 15 (Swarm),Route 15 (Swarm),Trade in Nimbasa City,Trade in Nimbasa City
57,Evolution,Evolution,Trade,Trade
58,Trade,Trade,Virbank Complex,Virbank Complex
59,Trade,Trade,Evolution,Evolution
60,"Wellspring Cave, Route 6, Victory Road, Challenger's Cave, Giant Chasm","Wellspring Cave, Route 6, Victory Road, Challenger's Cave, Giant Chasm","Routes 6, 19, 20, 23, Sangi Ranch, Relic Path, Lostlorn Forest, Giant Chasm, Victory Road, Clay Road, Wellspring Cave","Routes 6, 19, 20, 23, Sangi Ranch, Relic Path, Lostlorn Forest, Giant Chasm, Victory Road, Clay Road, Wellspring Cave"
61,"Wellspring Cave, Route 6, Victory Road, Challenger's Cave, Giant Chasm","Wellspring Cave, Route 6, Victory Road, Challenger's Cave, Giant Chasm","Routes 6, 19, 20, 23, Sangi Ranch, Relic Path, Lostlorn Forest, Giant Chasm, Victory Road, Clay Road, Wellspring Cave; Pinwheel Forest (Hidden Hole)","Routes 6, 19, 20, 23, Sangi Ranch, Relic Path, Lostlorn Forest, Giant Chasm, Victory Road, Clay Road, Wellspring Cave; Pinwheel Forest (Hidden Hole)"
62,"Wellspring Cave, Victory Road, Challenger's Cave, Giant Chasm","Wellspring Cave, Victory Road, Challenger's Cave, Giant Chasm","Route 23, Relic Path, Giant Chasm, Clay Road, Wellspring Cave","Route 23, Relic Path, Giant Chasm, Clay Road, Wellspring Cave"
63,Trade,White Forest,Breeding,Breeding
64,Trade,Evolution,Evolution,Evolution
65,Trade,Evolution,Trade in Accumula Town,Trade in Accumula Town
66,Trade,White Forest,Trade,Trade
67,Trade,Evolution,Trade,Trade
68,Trade,Evolution,Trade,Trade
69,Trade,White Forest,Trade,Trade
70,Trade,Evolution,Trade,Trade
71,Trade,Evolution,Trade,Trade
72,Trade,Trade,Trade,Trade
73,Trade,Trade,Trade,Trade
74,Breeding,Breeding,Trade,Trade
75,Challenger's Cave,Challenger's Cave,Trade,Trade
76,Evolution,Evolution,Trade,Trade
77,Breeding,Breeding,Trade,Trade
78,Route 12,Route 12,Trade,Trade
79,Abundant Shrine,Abundant Shrine,Abundant Shrine (Swarm),Abundant Shrine (Swarm)
80,Abundant Shrine,Abundant Shrine,Evolution,Evolution
81,Trade,White Forest,Virbank Complex,Virbank Complex
82,Trade,Evolution,P2 Laboratory,P2 Laboratory
83,Route 1 (Swarm),Route 1 (Swarm),Route 1 (Swarm),Route 1 (Swarm)
84,Route 12 (Swarm),Route 12 (Swarm),Route 12 (Swarm),Route 12 (Swarm)
85,Evolution,Evolution,Evolution,Evolution
86,Giant Chasm,Giant Chasm,"Seaside Cave, Giant Chasm","Seaside Cave, Giant Chasm"
87,Giant Chasm,Giant Chasm,"Seaside Cave, Giant Chasm","Seaside Cave, Giant Chasm"
88,Trade,Trade,Castelia Sewers,Castelia Sewers
89,Trade,Trade,Castelia Sewers; Route 9 (Hidden Hole),Castelia Sewers; Route 9 (Hidden Hole)
90,"Route 13, Undella Town, Undella Bay","Route 13, Undella Town, Undella Bay","Route 13, Undella Town, Seaside Cave, Seigaiha City","Route 13, Undella Town, Seaside Cave, Seigaiha City"
91,"Route 13, Undella Town, Undella Bay","Route 13, Undella Town, Undella Bay","Route 13, Undella Town, Seaside Cave, Seigaiha City","Route 13, Undella Town, Seaside Cave, Seigaiha City"
92,Trade,White Forest,Trade,Trade
93,Trade,Evolution,Trade,Trade
94,Trade,Evolution,Trade,Trade
95,Relic Castle,Relic Castle,"Relic Path, Victory Road, Clay Road, Twist Mountain","Relic Path, Victory Road, Clay Road, Twist Mountain"
96,Trade,Trade,Breeding,Breeding
97,Trade,Trade,Dreamyard (Swarm),Dreamyard (Swarm)
98,"Routes 4, 12, Driftveil City","Routes 4, 12, Driftveil City","Virbank City, Virbank Complex","Virbank City, Virbank Complex"
99,"Routes 4, 12, Driftveil City","Routes 4, 12, Driftveil City","Virbank City, Virbank Complex; Route 18 (Hidden Hole)","Virbank City, Virbank Complex; Route 18 (Hidden Hole)"
100,Trade,Trade,Trade,Trade
101,Trade,Trade,Trade,Trade
102,Route 18 (Swarm),Route 18 (Swarm),Trade,Trade
103,Evolution,Evolution,Trade,Trade
104,Breeding,Breeding,Trade,Trade
105,Route 15,Route 15,Trade,Trade
106,Evolution,Evolution,Trade,Trade
107,Evolution,Evolution,Trade,Trade
108,Challenger's Cave,Challenger's Cave,Route 2,Route 2
109,Trade,Trade,Virbank Complex,Virbank Complex
110,Trade,Trade,P2 Laboratory,P2 Laboratory
111,Trade,White Forest,Trade in Nimbasa City,Trade in Nimbasa City
112,Trade,Evolution,Evolution,Evolution
113,Trade,Evolution,Evolution,Evolution
114,"Route 13, Giant Chasm","Route 13, Giant Chasm","Route 13, Giant Chasm","Route 13, Giant Chasm"
115,Route 15,Route 15,Trade,Trade
116,"Routes 17, 18, P2 Laboratory","Routes 17, 18, P2 Laboratory","Routes 17, 18, P2 Laboratory","Routes 17, 18, P2 Laboratory"
117,"Routes 17, 18, P2 Laboratory","Routes 17, 18, P2 Laboratory","Routes 17, 18, P2 Laboratory","Routes 17, 18, P2 Laboratory"
118,"Routes 3, 11, 14, Striaton City, Pinwheel Forest, Lostlorn Forest, Abundant Shrine","Routes 3, 11, 14, Striaton City, Pinwheel Forest, Lostlorn Forest, Abundant Shrine","Routes 3, 11, 14, 22, Aspertia City, Abundant Shrine, Pinwheel Forest, Striaton City","Routes 3, 11, 14, 22, Aspertia City, Abundant Shrine, Pinwheel Forest, Striaton City"
119,"Routes 3, 11, 14, Striaton City, Pinwheel Forest, Lostlorn Forest, Abundant Shrine","Routes 3, 11, 14, Striaton City, Pinwheel Forest, Lostlorn Forest, Abundant Shrine","Routes 3, 11, 14, 22, Aspertia City, Abundant Shrine, Pinwheel Forest, Striaton City","Routes 3, 11, 14, 22, Aspertia City, Abundant Shrine, Pinwheel Forest, Striaton City"
120,Route 13,Route 13,"Route 13, Undella Town, Seigaiha City","Route 13, Undella Town, Seigaiha City"
121,Route 13,Route 13,"Route 13, Undella Town, Seigaiha City","Route 13, Undella Town, Seigaiha City"
122,Trade,Trade,Trade,Route 20 (Swarm)
123,Trade,Trade,Trade,Trade
124,Giant Chasm,Giant Chasm,Trade,Trade
125,Trade,Evolution,Trade,Evolution
126,Trade,Evolution,Evolution,Trade
127,Route 12,Route 12,Trade,"Route 12, Lostlorn Forest"
128,Trade,Trade,Trade,Trade
129,Marvelous Bridge,Marvelous Bridge,"Marvelous Bridge (One Available), Nature Sanctuary","Marvelous Bridge (One Available), Nature Sanctuary"
130,Evolution,Evolution,Nature Sanctuary,Nature Sanctuary
131,Village Bridge,Village Bridge,Village Bridge,Village Bridge
132,Giant Chasm,Giant Chasm,Giant Chasm,Giant Chasm
133,Trade,Trade,"Castelia City, Castelia City (Gift); All Hidden Holes","Castelia City, Castelia City (Gift); All Hidden Holes"
134,Trade,Trade,Evolution,Evolution
135,Trade,Trade,Evolution,Evolution
136,Trade,Trade,Evolution,Evolution
137,Trade,White Forest,Trade,Trade
138,Fossil from Twist Mountain,Fossil from Twist Mountain,Fossil from Twist Mountain,Fossil from Twist Mountain
139,Evolution,Evolution,Evolution,Evolution
